Name,# Single Line,# Multi Line,Includes Eval?,Available?,Notes
BashBench (BashCoder-R1 2026),773 (606 unique),179,"No. It ships tests, but they do not work.",YES,"Do not use this as an evaluation. The harness saves the model's script to solution.sh and then runs the task's test.sh. None of the 1081 released test scripts ever read solution.sh, so the score does not depend on the generated code at all. Each test just re-runs the reference commands itself. Three checks on the authors' own published results confirm it. 178 of 179 tasks get an identical verdict from 7 different models ranging from 3B to 32B. Every model scores 93 to 94 percent once its code is extractable. Where a model wrote different code for the same prompt, 67 of 68 got the same verdict anyway. The published spread from 6.7 to 93.9 percent only reflects whether a model emitted a parseable code block. Separately, 709 of the 773 single-line tasks (91.7 percent) appear word for word in the training data shipped in the same release, though the paper claims the tasks are completely isolated from training data. The 179 multi-line tasks are genuinely clean. Still useful as data: 952 English prompts and reference solutions with a real single and multi-line split. The reference solutions are themselves LLM-generated. arXiv 2606.27733 (ISSTA 2026). zenodo.org/records/18408692. CC-BY-4.0."
BashBench (Redwood / Ctrl-Z 2025),0,257,YES,YES,"A different project that shares the name with the 2026 BashBench above. 257 sysadmin tasks from Unix StackExchange, each solvable in up to 15 commands run in sequence, graded by public and private Python tests. Built for AI-control research. arXiv 2504.10374. bashcontrol.com"
Terminal-Bench 2.0,0,89,YES,YES,"Every task is an English instruction plus a Docker environment, a test suite, and an oracle solution. 16 categories. Runs on the Harbor harness. ICLR 2026. arXiv 2601.11868. github.com/harbor-framework/terminal-bench"
Terminal-Bench Pro (Alibaba),0,200,YES,YES,"A harder variant of Terminal-Bench. Needs a cloud execution backend such as Modal. huggingface.co/datasets/alibabagroup/terminal-bench-pro"
Long-Horizon Terminal-Bench (LHTB),0,46,YES,YES,"46 long-horizon tasks. The verifiers are hidden by design. The harness keeps resuming the session with verifier feedback until the task passes or times out. huggingface.co/datasets/IntelligenceLab/Long-Horizon-Terminal-Bench"
TerminalWorld,0,1530,YES,YES,"1530 tasks reverse-engineered from public repos. Each one has an English instruction, an oracle solution, state-based tests, and a reproducible Docker environment. Also ships a 200-task human-verified subset. huggingface.co/datasets/EuniAI/TerminalWorld"
InterCode-Bash (IC-Bash),200,0,YES,YES,"200 tasks run against 4 Docker filesystems. Scored by execution: a git diff of the container state, an MD5 of file contents, and TF-IDF on stdout. Do not use it as held-out data. The tasks were drawn from NL2Bash, so the whole InterCode line already sits inside the corpora Bash models are trained on. Measured against a 78000-command union of the seven main public corpora, westenfelder/InterCode-Corrections is 100 percent contained and epinnock/intercode-nl2bash-curated is 63.8 percent, against 0.1 to 0.2 percent for benchmarks written against a real environment. Filtering cannot repair this, and a score here measures memorisation as much as capability. NeurIPS 2023. arXiv 2306.14898. github.com/princeton-nlp/intercode"
laion/stackexchange-unix-sandboxes-verified,0,10000,"Yes, but LLM-judged",YES,"10000 computer-use tasks from Unix and Linux StackExchange. Each sandbox ships an LLM judge rather than deterministic tests, so the verdicts are softer than a real pass or fail suite. Repackaged from DCAgent/stackexchange-unix-sandboxes-skywork-response."
nvidia/Nemotron-Terminal-Synthetic-Tasks,unknown,unknown,YES,YES,"Synthetic terminal tasks. Each has a verification suite at tests/test.sh. Ships 9 standard Docker images and a sandboxed tmux. Companion to Nemotron-Terminal-Corpus. arXiv 2602.21193"
nvidia/Nemotron-Terminal-Corpus,0,366154,"No, traces only",YES,"366154 execution traces across 4 configs: dataset_adapters 226313, skill_based_easy 44809, skill_based_medium 89343, and skill_based_mixed 5689. This is a trace corpus for fine-tuning, not a set of English and command pairs. Re-uploaded word for word by CathleenTico, txchmechanicus, and nick007x. arXiv 2602.21193"
