sample_id,task_id,local_label,astrogator,astrogator_configured_heuristics,judge,generated_checks_gated
deepseek/p01/0,a01,passed_local_checks,accept,accept,accept,test_invalid
deepseek/p01/1,a01,passed_local_checks,accept,accept,accept,test_invalid
deepseek/p01/2,a01,passed_local_checks,accept,accept,accept,test_invalid
deepseek/p01/3,a01,passed_local_checks,accept,accept,accept,test_invalid
deepseek/p01/4,a01,passed_local_checks,accept,accept,accept,test_invalid
deepseek/p01/5,a01,passed_local_checks,accept,accept,accept,test_invalid
deepseek/p01/6,a01,passed_local_checks,accept,accept,accept,test_invalid
deepseek/p01/7,a01,passed_local_checks,accept,reject,accept,test_invalid
deepseek/p01/8,a01,passed_local_checks,accept,accept,accept,test_invalid
deepseek/p01/9,a01,passed_local_checks,accept,accept,accept,test_invalid
deepseek/p05/0,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p05/1,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p05/2,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p05/3,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p05/4,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p05/5,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p05/6,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p05/7,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p05/8,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p05/9,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p10/0,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p10/1,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p10/2,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
deepseek/p10/3,a17,passed_local_checks,accept,accept,reject,test_reference_control_failed
deepseek/p10/4,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p10/5,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p10/6,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p10/7,a17,passed_local_checks,accept,accept,accept,test_reference_control_failed
deepseek/p10/8,a17,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
deepseek/p10/9,a17,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
deepseek/p13/0,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
deepseek/p13/1,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
deepseek/p13/2,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
deepseek/p13/3,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
deepseek/p13/4,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
deepseek/p13/5,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
deepseek/p13/6,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
deepseek/p13/7,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
deepseek/p13/8,a06,failed_local_checks_or_execution,unsupported_or_error,unsupported_or_error,accept,test_reference_control_failed
deepseek/p13/9,a06,failed_local_checks_or_execution,reject,reject,accept,test_reference_control_failed
gpt-4o/p01/0,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-4o/p01/1,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-4o/p01/2,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-4o/p01/3,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-4o/p01/4,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-4o/p01/5,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-4o/p01/6,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-4o/p01/7,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-4o/p01/8,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-4o/p01/9,a01,passed_local_checks,accept,accept,accept,test_invalid
gpt-4o/p05/0,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p05/1,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p05/2,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p05/3,a02,passed_local_checks,accept,accept,accept,test_reference_control_failed
gpt-4o/p05/4,a02,passed_local_checks,accept,accept,reject,test_reference_control_failed
